country,xgb_rmse
Bangladesh,2.1306
China,2.8524
India,2.7192
Indonesia,0.2254
Japan,1.3474
Malaysia,2.1203
Pakistan,2.4094
Philippines,1.4888
Singapore,1.3721
South Korea,1.4971
Thailand,1.0812
Vietnam,1.8733
