country,rf_rmse
Bangladesh,1.3547
China,2.91
India,2.5328
Indonesia,0.1815
Japan,0.8093
Malaysia,2.3674
Pakistan,2.5055
Philippines,1.3148
Singapore,1.347
South Korea,2.0161
Thailand,1.4108
Vietnam,1.6922
