country,year,gdp_growth,inflation,unemployment,debt_gdp,remittance_pct_gdp,energy_imports_pct,fertilizer_consumption,crop_production_index,exchange_rate,brent_crude_usd,lng_price_usd,baltic_dry_index,fertilizer_price_index,fao_food_index,fao_cereals,fao_oils,gpr_global,gpr_threat,gpr_act,hormuz_flow_mbd,gpr_country,reserve_days,rolling_mean_brent,oil_shock_signal,hormuz_disruption,oil_x_buffer,gpr_normalised,fertilizer_norm,fertilizer_shock,conflict_dummy,trade_exposure,oil_shock_signal_lag1,gpr_normalised_lag1,inflation_lag1,hormuz_disruption_lag1,country_encoded
Bangladesh,1990,5.62225816160344,6.12671846981457,2.2,31.4618431575804,2.46489398309466,16.9252782610812,98.7332910321489,45.08,34.5688083333333,23.7614453125,2.4966666666666666,1347.5,119.61666666666667,63.3176063590235,58.0797514107151,45.46977480755972,121.24440511067708,146.74820454915366,87.40614604949951,17.0,121.24440511067708,15,,0.0,0.0,0.0,2.0460115249643467,-1.174678979687606,-115.97992157084413,1,19.390172244175858,0.0,0.0,0.0,0.0,0
Bangladesh,1991,3.48522781598027,6.35736412278234,2.2,31.4618431575804,2.48523337346491,14.5675104082149,107.021843367075,47.08,36.5961833333333,20.04112840466926,2.4966666666666666,1595.4166666666667,120.38333333333333,62.34528439011701,57.86381988667311,49.00795416086814,149.45454788208008,154.52122243245444,153.30049737294516,17.0,149.45454788208008,15,,0.0,0.0,0.0,2.6497768989792823,-1.162026992039822,-124.36227073039913,2,17.052743781679812,0.0,2.0460115249643467,6.12671846981457,0.0,0
Bangladesh,1992,5.44268554966725,3.63407691798491,2.233,31.4618431575804,2.87540936210898,14.0982820989522,116.013706586131,47.47,38.9507583333333,19.319727626459144,2.4966666666666666,1198.6666666666667,122.50833333333333,64.22555868464647,60.95765148950151,52.991996389394096,84.01630846659343,99.61414782206218,60.21274916330973,17.0,84.01630846659343,15,21.040767114542803,-0.08179547250889549,0.0,-0.005453031500593033,1.2492400985905456,-1.1269589827986817,-130.7426887650109,0,16.97369146106118,0.0,2.6497768989792823,6.35736412278234,0.0,0
Bangladesh,1993,4.71156172453999,3.01481859989798,2.31,31.4618431575804,3.03732522639564,13.9538781603793,111.166588290618,47.0,39.5672575,17.013412698412697,2.4966666666666666,1398.0833333333333,128.6,62.25940484796652,59.01858803408094,53.96648063424715,101.6827818552653,117.98022079467772,77.42878818511963,17.0,101.6827818552653,15,20.033928510510275,-0.15077002049363128,0.0,-0.010051334699575419,1.6273454133870755,-1.0264306896407456,-114.10479788414786,0,16.99120338677494,-0.08179547250889549,1.2492400985905456,3.63407691798491,0.0,0
Bangladesh,1994,3.89012644116818,5.31374007936497,2.37,31.4618431575804,3.40813403881952,15.2850426526658,124.805780209324,44.94,40.2117391666666,15.856388888888889,2.4966666666666666,1502.0833333333333,133.85,67.26054679350919,61.93682365458511,71.86775375736013,99.04823048909503,118.7164529164632,71.1668472290039,17.0,99.04823048909503,15,19.198420586185996,-0.17407847079367708,0.0,-0.011605231386245139,1.570959633852141,-0.9397920785743984,-117.29148360102012,0,18.69317669148532,-0.15077002049363128,1.6273454133870755,3.01481859989798,0.0,0
Bangladesh,1995,5.12127789724337,10.2978117947206,2.441,31.4618431575804,3.16729631986545,15.2850426526658,142.194193241314,46.47,40.2783183333333,17.01584980237154,2.4966666666666666,1957.0,138.84166666666667,76.8287850116353,70.8474665240566,79.95838810789446,85.53733698527019,88.9535083770752,79.60462252298991,17.0,85.53733698527019,15,17.849301484160303,-0.046693798215486366,0.0,-0.0031129198810324245,1.2817937924838354,-0.8574166372589349,-121.91966700671462,0,18.45233897253125,-0.17407847079367708,1.570959633852141,5.31374007936497,0.0,0
Bangladesh,1996,4.52291921684423,2.37712902953223,2.51,31.4618431575804,2.89557515603607,15.2850426526658,147.244824697858,48.95,41.7941683333333,20.6398031496063,2.4966666666666666,1310.0833333333333,139.63333333333333,77.82086308655744,83.65592765127325,69.93519294281283,74.67454210917155,73.27357705434163,74.37667338053386,17.0,74.67454210917155,15,17.969036433147714,0.14863160450450139,0.0,0.009908773633633426,1.0493036748562232,-0.8443520847965494,-124.32647470913886,0,18.180617808701868,-0.046693798215486366,1.2817937924838354,10.2978117947206,0.0,0
Bangladesh,1997,4.4898964976265,5.30560105668801,2.698,31.4618431575804,3.1641028158335,15.2850426526658,132.205005959476,49.49,43.8921158333333,19.10850806451613,2.4966666666666666,1315.5833333333333,142.07500000000002,70.75682380399682,66.51116723257967,70.68473461622511,50.914693196614586,53.18299579620361,45.42901865641276,17.0,50.914693196614586,15,17.92679252075911,0.065918961375193,0.0,0.004394597425012867,0.5407853670449485,-0.8040582545704542,-106.30052633725278,0,18.4491454684993,0.14863160450450139,1.0493036748562232,2.37712902953223,0.0,0
Bangladesh,1998,5.1770268731498,8.40223795613228,2.893,31.4618431575804,3.2125653790456,15.2850426526658,138.455169150698,51.24,46.9056516666666,12.75810276679842,2.0908333333333333,930.5,141.38333333333333,64.8237651326436,58.90385220966683,83.88543382429604,68.46944268544515,79.96454175313313,52.67539628346761,17.0,68.46944268544515,15,17.075730534436254,-0.252851716003047,0.0,-0.0168567810668698,0.9164995198143765,-0.8154725477744337,-112.90638953985987,0,18.4976080317114,0.065918961375193,0.5407853670449485,5.30560105668801,0.0,0
Bangladesh,1999,4.67015636882111,6.10669589841958,3.088,31.4618431575804,3.52403766089633,15.2850426526658,161.889521100047,58.59,49.0854,17.90156626506024,2.27,1086.75,142.75833333333333,55.38494745729497,53.12085523046289,58.22698225943004,73.97799110412598,78.92398738861084,67.86355527242024,17.0,73.97799110412598,15,17.484766009670526,0.023837908677713394,0.0,0.0015891939118475595,1.034395796456255,-0.7927814829713428,-128.34301461521576,0,18.80908031356213,-0.252851716003047,0.9164995198143765,8.40223795613228,0.0,0
