feature,mean_shap
reserve_days,1.1134588
debt_gdp,0.8949634
oil_shock_signal_lag1,0.334602
energy_imports_pct,0.31433555
gpr_normalised_lag1,0.2446131
inflation_lag1,0.18705012
unemployment,0.17186329
oil_x_buffer,0.15054946
remittance_pct_gdp,0.117658325
gpr_normalised,0.11195282
oil_shock_signal,0.103050336
baltic_dry_index,0.09504222
hormuz_disruption_lag1,0.08846
fertilizer_shock,0.08335804
country_encoded,0.06823854
hormuz_disruption,0.05598924
conflict_dummy,0.0
