date,baltic_dry_index
2009-07-01,3350.0
2009-08-01,2421.0
2009-09-01,2220.0
2009-10-01,3103.0
2009-11-01,3887.0
2009-12-01,3005.0
2010-01-01,2848.0
2010-02-01,2738.0
2010-03-01,2998.0
2010-04-01,3354.0
2010-05-01,4078.0
2010-06-01,2406.0
2010-07-01,1967.0
2010-08-01,2713.0
2010-09-01,2446.0
2010-10-01,2678.0
2010-11-01,2099.0
2010-12-01,1773.0
2011-01-01,1107.0
2011-02-01,1251.0
2011-03-01,1530.0
2011-04-01,1269.0
2011-05-01,1480.0
2011-06-01,1413.0
2011-07-01,1264.0
2011-08-01,1619.0
2011-09-01,1899.0
2011-10-01,1965.0
2011-11-01,1846.0
2011-12-01,1738.0
2012-01-01,680.0
2012-02-01,750.0
2012-03-01,934.0
2012-04-01,1155.0
2012-05-01,923.0
2012-06-01,1004.0
2012-07-01,897.0
2012-08-01,703.0
2012-09-01,766.0
2012-10-01,1026.0
2012-11-01,1086.0
2012-12-01,699.0
2013-01-01,760.0
2013-02-01,757.0
2013-03-01,910.0
2013-04-01,863.0
2013-05-01,809.0
2013-06-01,1171.0
2013-07-01,1062.0
2013-08-01,1132.0
2013-09-01,2003.0
2013-10-01,1504.0
2013-11-01,1821.0
2013-12-01,2277.0
2014-01-01,1110.0
2014-02-01,1258.0
2014-03-01,1362.0
2014-04-01,943.0
2014-05-01,934.0
2014-06-01,850.0
2014-07-01,755.0
2014-08-01,1147.0
2014-09-01,1063.0
2014-10-01,1428.0
2014-11-01,1153.0
2014-12-01,782.0
2015-01-01,608.0
2015-02-01,540.0
2015-03-01,602.0
2015-04-01,591.0
2015-05-01,589.0
2015-06-01,800.0
2015-07-01,1131.0
2015-08-01,903.0
2015-09-01,900.0
2015-10-01,721.0
2015-11-01,584.0
2015-12-01,478.0
2016-01-01,317.0
2016-02-01,329.0
2016-03-01,429.0
2016-04-01,703.0
2016-05-01,612.0
2016-06-01,660.0
2016-07-01,656.0
2016-08-01,711.0
2016-09-01,875.0
2016-10-01,857.0
2016-11-01,1204.0
2016-12-01,961.0
2017-01-01,800.0
2017-02-01,859.0
2017-03-01,1297.0
2017-04-01,1109.0
2017-05-01,878.0
2017-06-01,901.0
2017-07-01,946.0
2017-08-01,1184.0
2017-09-01,1356.0
2017-10-01,1522.0
2017-11-01,1578.0
2017-12-01,1366.0
2018-01-01,1152.0
2018-02-01,1192.0
2018-03-01,1055.0
2018-04-01,1341.0
2018-05-01,1090.0
2018-06-01,1385.0
2018-07-01,1747.0
2018-08-01,1579.0
2018-09-01,1540.0
2018-10-01,1490.0
2018-11-01,1231.0
2018-12-01,1271.0
2019-01-01,668.0
2019-02-01,658.0
2019-03-01,689.0
2019-04-01,1011.0
2019-05-01,1096.0
2019-06-01,1354.0
2019-07-01,1868.0
2019-08-01,2378.0
2019-09-01,1823.0
2019-10-01,1731.0
2019-11-01,1528.0
2019-12-01,1090.0
2020-01-01,487.0
2020-02-01,535.0
2020-03-01,626.0
2020-04-01,635.0
2020-05-01,504.0
2020-06-01,1799.0
2020-07-01,1350.0
2020-08-01,1488.0
2020-09-01,1725.0
2020-10-01,1283.0
2020-11-01,1227.0
2020-12-01,1366.0
2021-01-01,1452.0
2021-02-01,1675.0
2021-03-01,2046.0
2021-04-01,3053.0
2021-05-01,2596.0
2021-06-01,3383.0
2021-07-01,3292.0
2021-08-01,4132.0
2021-09-01,5167.0
2021-10-01,3519.0
2021-11-01,3018.0
2021-12-01,2217.0
2022-01-01,1418.0
2022-02-01,2040.0
2022-03-01,2358.0
2022-04-01,2404.0
2022-05-01,2566.0
2022-06-01,2240.0
2022-07-01,1895.0
2022-08-01,965.0
2022-09-01,1760.0
2022-10-01,1463.0
2022-11-01,1355.0
2022-12-01,1515.0
2023-01-01,681.0
2023-02-01,990.0
2023-03-01,1389.0
2023-04-01,1576.0
2023-05-01,977.0
2023-06-01,1091.0
2023-07-01,1127.0
2023-08-01,1086.0
2023-09-01,1701.0
2023-10-01,1459.0
2023-11-01,2937.0
2023-12-01,2094.0
2024-01-01,1398.0
2024-02-01,2111.0
2024-03-01,1821.0
2024-04-01,1685.0
2024-05-01,1815.0
2024-06-01,2050.0
2024-07-01,1708.0
2024-08-01,1814.0
2024-09-01,2084.0
2024-10-01,1388.0
2024-11-01,1354.0
2024-12-01,997.0
2025-01-01,735.0
2025-02-01,1229.0
2025-03-01,1598.0
2025-04-01,1386.0
2025-05-01,1418.0
2025-06-01,1489.0
2025-07-01,2003.0
2025-08-01,2025.0
2025-09-01,2134.0
2025-10-01,1966.0
2025-11-01,2560.0
2025-12-01,1877.0
