country,year,gdp_growth,inflation,unemployment,debt_gdp,remittance_pct_gdp,energy_imports_pct,fertilizer_consumption,crop_production_index,exchange_rate
Bangladesh,1990,5.62225816160344,6.12671846981457,,,2.46489398309466,16.9252782610812,98.7332910321489,45.08,34.5688083333333
Bangladesh,1991,3.48522781598027,6.35736412278234,2.2,,2.48523337346491,14.5675104082149,107.021843367075,47.08,36.5961833333333
Bangladesh,1992,5.44268554966725,3.63407691798491,2.233,,2.87540936210898,14.0982820989522,116.013706586131,47.47,38.9507583333333
Bangladesh,1993,4.71156172453999,3.01481859989798,2.31,,3.03732522639564,13.9538781603793,111.166588290618,47.0,39.5672575
Bangladesh,1994,3.89012644116818,5.31374007936497,2.37,,3.40813403881952,15.2850426526658,124.805780209324,44.94,40.2117391666666
Bangladesh,1995,5.12127789724337,10.2978117947206,2.441,,3.16729631986545,,142.194193241314,46.47,40.2783183333333
Bangladesh,1996,4.52291921684423,2.37712902953223,2.51,,2.89557515603607,,147.244824697858,48.95,41.7941683333333
Bangladesh,1997,4.4898964976265,5.30560105668801,2.698,,3.1641028158335,,132.205005959476,49.49,43.8921158333333
Bangladesh,1998,5.1770268731498,8.40223795613228,2.893,,3.2125653790456,,138.455169150698,51.24,46.9056516666666
Bangladesh,1999,4.67015636882111,6.10669589841958,3.088,,3.52403766089633,,161.889521100047,58.59,49.0854
Bangladesh,2000,5.29329471892532,2.20825620937535,3.27,,3.68659677566545,17.6509148650554,158.10754491018,62.5,52.1416666666666
Bangladesh,2001,5.07728777526728,2.0071737421384,3.609,31.4618431575804,3.89794627098135,21.1038949568699,174.590268577623,61.14,55.8066666666666
Bangladesh,2002,3.83312393993225,3.33256493271912,3.966,31.863991518402,5.22266923917607,19.7062195987588,188.639161517024,62.73,57.888
Bangladesh,2003,4.73956739963045,5.66870773441476,4.32,31.2044521104432,5.30538820275249,19.9285740363967,160.266893534273,64.15,58.15004
Bangladesh,2004,5.23953291029852,7.58753638504689,4.316,,5.50437314918371,17.7920645309499,170.671374186418,62.56,59.5126583333333
Bangladesh,2005,6.53594493875502,7.04661816222038,4.25,,6.21006213483214,17.9095538204646,192.872642090988,70.97,64.3274749999999
Bangladesh,2006,6.67190498576788,6.76526117054757,3.591,,7.55966261801311,16.1103486776302,188.408168316832,73.37,68.9332333333333
Bangladesh,2007,7.05859935449848,9.10698496905382,4.015,,8.24291009689063,15.8299464466906,179.81000499002,77.62,68.874875
Bangladesh,2008,6.01378975738535,8.90194489465153,4.49,,9.75655233462347,15.4943288262154,195.064350868424,84.01,68.598275
Bangladesh,2009,5.04512479919337,5.42347236174679,5.0,,10.2665399023146,14.7404722275885,184.290524471148,84.55,69.0390666666666
Bangladesh,2010,5.57178818533122,8.12667639169917,3.379,,9.41241447446753,14.4544547917684,208.024322968907,89.65,69.6492916666666
Bangladesh,2011,6.46437912497728,11.3951651552399,3.737,,9.3859804789798,17.4646380499939,249.746915935394,93.78,74.1524
Bangladesh,2012,6.52145877906443,6.21750422069283,4.07,,10.5915144036117,18.3559167186151,254.30935709739,94.27,81.8626583333333
Bangladesh,2013,6.01360565834344,7.53040640913172,4.426,,9.24470026765418,17.9640543283116,253.280642653537,96.58,78.103235
Bangladesh,2014,6.0610593588495,6.99163889220848,4.417,,8.66899486049041,19.6289634401405,278.132224964281,98.76,77.6414083333333
Bangladesh,2015,6.55263987816197,6.19428022984983,4.397,,7.83797175617291,20.4002085391355,297.810941171621,100.69,77.9469083333333
Bangladesh,2016,7.11347821270093,5.51352572692995,4.35,,5.11803588431436,21.6719159236748,288.288357639838,100.55,78.4680916666666
Bangladesh,2017,6.59024999794057,5.70207015717238,4.372,,4.59667741438375,23.889970217061,302.542720033696,108.47,80.4375416666666
Bangladesh,2018,7.31941263014136,5.54362139486476,4.439,,4.84382269321267,24.5741159464946,318.46686309072,108.0,83.4662019166666
Bangladesh,2019,7.88191515117722,5.59199639930629,4.504,,5.22841813674275,30.2974940894337,320.445462644775,109.89,84.4535225
Bangladesh,2020,3.44801755122445,5.69107474746211,5.539,,5.81626795895569,34.4620400337636,325.386565272497,111.84,84.8713916666666
Bangladesh,2021,6.93867912442445,5.54565430773473,5.457,,5.33437804101103,39.5900689972266,395.72014579444,116.46,85.08376325
Bangladesh,2022,7.09982877575158,7.69695437176898,4.593,,4.6737649876073,44.3070258449266,388.941232933807,119.1,91.7454544396961
Bangladesh,2023,5.77511237007889,9.8835030377921,3.352,,5.04555725354251,,391.888102126796,,106.309484297483
Bangladesh,2024,4.22325911250161,10.4657482763412,3.635,,6.11494686698428,,,,115.603653796648
China,1990,3.9416305983694,3.05229012075233,,18.0,0.0541929073063418,-3.991341834913,220.304523424879,40.1,4.78320833333333
China,1991,9.36170212784847,3.55668565220452,2.37,18.5,0.101380858959082,-3.5844945560059,237.51031031031,41.28,5.32339166666666
China,1992,14.2996108947926,6.35398134024868,2.37,19.0,0.144545296677853,-2.63382169910883,237.607811228641,42.68,5.51459166666666
