,Bangladesh,India,Japan,Pakistan,Singapore,South Korea
gdp_oil,"[0.0, 0.008225007067830165, 0.011773525158163748, 0.012364141609434803, 0.011816062133232138, 0.01091555901549039, 0.009950591630048843, 0.00902000813479012, 0.00815518806042614]","[0.0, 0.007945950739487395, 0.008318905816976873, 0.007287946074701498, 0.006380498716090784, 0.0056775536270220524, 0.005087044414659838, 0.004564171081848697, 0.00409501798517644]","[0.0, -0.01245098091575473, -0.013045537594295597, -0.010951234331007979, -0.008927327348583059, -0.007385018312698115, -0.006203345209738145, -0.005250352335495381, -0.004454205847179686]","[0.0, -0.0010926008759885586, -0.0009892925071456693, -0.0007892683813956058, -0.0006537812525432456, -0.0005750250083456002, -0.0005263369983914369, -0.0004890257179646005, -0.0004538350835610218]","[0.0, -0.022179029847718627, -0.026463665062031627, -0.025062737351299054, -0.022782717419898298, -0.020748469718922184, -0.01901603955706704, -0.017487998250551313, -0.016101797590853832]","[0.0, -0.03864271639201268, -0.03310964641006129, -0.03416806488137111, -0.0319315220920376, -0.029861950254042858, -0.02762956968409894, -0.025527153269020424, -0.023563941229500857]"
gdp_gpr,"[0.0, 0.0027254874470750146, 0.0033888971227061266, 0.003297553961265076, 0.003004787632620233, 0.0026907341940475902, 0.0024031490395693563, 0.0021493816832672836, 0.0019264056606543675]","[0.0, 0.005786599502334705, 0.0032126953319036445, 0.0017012541312337402, 0.0012296226076404025, 0.0010729388275598308, 0.0009662179757709837, 0.0008652870772703707, 0.0007720618057278599]","[0.0, 0.010374977880095261, 0.0060685722902084835, 0.002192042966511098, 0.00046029103028752427, -6.96475243480146e-05, -0.0001634107581302014, -0.00014876953521471154, -0.00012262398721315127]","[0.0, 0.02996067466033739, 0.01756156215737816, 0.005074036579474629, -0.001699619131091745, -0.004009227657301176, -0.0038867207960524837, -0.002829832712906944, -0.001679728159100735]","[0.0, 0.022019337849595685, 0.012716646411765524, 0.003961305559342177, -0.00022112085287228028, -0.001687070008120008, -0.002049961159221548, -0.0020498655836855436, -0.001946508924476501]","[0.0, 0.006974362561776491, -0.0004304153260601449, -0.0017361875141490507, -0.0029890035472662944, -0.0033996756142397476, -0.0035379914363356008, -0.003484942930014249, -0.0033444141431902543]"
