,rmse,mae,mape
Bangladesh,0.6802,0.6166,11.48
India,2.7579,2.579,32.17
Japan,0.6211,0.5028,122.98
Pakistan,2.7447,2.0505,377.03
Singapore,2.2578,1.9362,78.68
South Korea,1.2524,1.0655,60.16
