date,gpr_global,gpr_threat,gpr_act,gpr_india,gpr_japan,gpr_korea
1990-01-01,81.5440444946289,76.01142120361328,80.72607421875,0.12290548533201218,0.1474865823984146,0.09013068675994873
1990-02-01,77.40721130371094,81.10881042480469,65.3890380859375,0.12948162853717804,0.2098495364189148,0.09376255422830582
1990-03-01,67.5919418334961,68.18672180175781,59.72285842895508,0.07767593860626221,0.11651390045881271,0.042721763253211975
1990-04-01,81.64384460449219,97.97654724121094,54.79267120361328,0.18018017709255219,0.09418509155511856,0.06961506605148315
1990-05-01,86.40711975097656,97.81657409667969,66.84378051757812,0.198444202542305,0.12700428068637848,0.07143991440534592
1990-06-01,79.68110656738281,72.84642028808594,80.65287780761719,0.16596822440624237,0.21160948276519775,0.08713331073522568
1990-07-01,85.78742980957031,82.36925506591797,81.84713745117188,0.18167990446090698,0.245056614279747,0.042251139879226685
1990-08-01,250.45108032226562,353.76312255859375,128.2501983642578,0.698693573474884,1.0749131441116333,0.31007111072540283
1990-09-01,188.66053771972656,262.1236267089844,106.9548110961914,0.5521650910377502,0.9092041254043579,0.3404325842857361
1990-10-01,143.85256958007812,172.9463653564453,105.10758972167969,0.2227693796157837,0.4377222955226898,0.2188611477613449
1990-11-01,158.74354553222656,201.18106079101562,115.40345764160156,0.1975487768650055,0.6047411561012268,0.1693275272846222
1990-12-01,153.1624298095703,194.64852905273438,103.18325805664062,0.18565692007541656,0.5656059980392456,0.14248089492321014
1991-01-01,379.2497863769531,360.0328063964844,479.7158508300781,0.43391865491867065,1.1557645797729492,0.30820390582084656
1991-02-01,339.3580322265625,253.7916259765625,490.27374267578125,0.28137561678886414,0.7949977517127991,0.37516748905181885
1991-03-01,148.61831665039062,133.98248291015625,171.39544677734375,0.22103971242904663,0.3765861690044403,0.12689316272735596
1991-04-01,97.760009765625,100.77496337890625,88.50554656982422,0.16066837310791016,0.2008354812860489,0.10443444550037384
1991-05-01,88.56902313232422,95.45738983154297,79.06768798828125,0.1536213457584381,0.19483682513237,0.09367155283689499
1991-06-01,87.73383331298828,99.7988510131836,69.48858642578125,0.16273069381713867,0.21432824432849884,0.09128795564174652
1991-07-01,115.18467712402344,144.65106201171875,84.731201171875,0.10744689404964447,0.33887097239494324,0.08678403496742249
1991-08-01,113.49502563476562,133.4146728515625,87.34529113769531,0.10155583173036575,0.2193606048822403,0.10561806708574295
1991-09-01,117.94219207763672,154.14364624023438,74.79663848876953,0.087346650660038,0.2858617603778839,0.16278238594532013
1991-10-01,100.8318099975586,122.6444320678711,77.95648193359375,0.0729634091258049,0.20794571936130524,0.17511218786239624
1991-11-01,100.7423324584961,120.3302230834961,77.58206176757812,0.11577200889587402,0.2971481382846832,0.3395978808403015
1991-12-01,103.96953582763672,135.23251342773438,58.747432708740234,0.13059480488300323,0.31263604760169983,0.24931734800338745
1992-01-01,102.95763397216797,126.1564712524414,69.45668029785156,0.19873876869678497,0.37072426080703735,0.259889155626297
1992-02-01,87.2034683227539,101.0959701538086,62.860504150390625,0.1738443374633789,0.16594231128692627,0.14618727564811707
1992-03-01,85.29731750488281,107.12957000732422,53.69252014160156,0.16788321733474731,0.19708029925823212,0.22992700338363647
1992-04-01,85.85562133789062,92.64119720458984,74.40125274658203,0.12460353225469589,0.2152242809534073,0.0792931616306305
1992-05-01,78.96814727783203,93.08229064941406,56.43539047241211,0.15616866946220398,0.14873206615447998,0.12270394712686539
1992-06-01,93.84909057617188,124.33613586425781,49.73001480102539,0.1155223548412323,0.2965073883533478,0.138626828789711
1992-07-01,75.19676971435547,92.42886352539062,51.642940521240234,0.0870387926697731,0.16272468864917755,0.06054872274398804
