feature,importance
reserve_days,0.35903915802772135
energy_imports_pct,0.12267538603724595
debt_gdp,0.12224819525610223
gpr_normalised_lag1,0.08013040026242267
unemployment,0.057869564129936386
inflation_lag1,0.040740134667980064
fertilizer_shock,0.038645516178791486
oil_shock_signal_lag1,0.025305962934877115
hormuz_disruption_lag1,0.024285588219538894
remittance_pct_gdp,0.023000590952824994
baltic_dry_index,0.021627941286858292
oil_x_buffer,0.019299286866101772
hormuz_disruption,0.01863616935951437
gpr_normalised,0.018604473188175773
country_encoded,0.013139778074238268
oil_shock_signal,0.012973274099138591
conflict_dummy,0.0017785804585317077
