n_estimators,max_depth,learning_rate,subsample,reg_alpha,reg_lambda,val_rmse
200,5,0.05,1.0,1.0,5.0,1.5162
200,7,0.1,0.8,0.0,5.0,1.5185
200,5,0.1,1.0,0.1,5.0,1.5197
300,3,0.05,1.0,1.0,5.0,1.5198
100,5,0.1,0.8,0.1,5.0,1.5207
300,3,0.05,1.0,0.1,5.0,1.5209
200,3,0.05,0.8,0.1,2.0,1.5256
100,5,0.05,0.8,0.1,5.0,1.5263
200,7,0.05,0.8,0.1,5.0,1.5266
200,3,0.05,0.8,1.0,2.0,1.5269
100,5,0.05,0.8,1.0,5.0,1.527
300,3,0.05,0.8,1.0,5.0,1.5322
200,3,0.05,1.0,0.1,5.0,1.5338
100,5,0.05,1.0,1.0,2.0,1.5354
100,3,0.1,1.0,0.0,5.0,1.5376
100,3,0.05,1.0,0.0,5.0,1.5394
100,5,0.1,0.8,0.1,1.0,1.5401
100,7,0.1,0.8,0.0,1.0,1.542
200,3,0.05,0.8,0.1,5.0,1.5425
200,7,0.1,0.8,0.0,1.0,1.5432
300,3,0.01,0.8,1.0,1.0,1.5435
300,7,0.1,0.8,0.0,1.0,1.5435
200,7,0.05,0.8,0.1,1.0,1.5461
300,3,0.05,0.8,0.1,2.0,1.5462
300,7,0.05,0.8,0.1,1.0,1.5473
100,5,0.1,1.0,0.0,5.0,1.5474
200,5,0.1,0.8,0.1,1.0,1.5477
300,5,0.1,0.8,0.1,1.0,1.5478
300,3,0.05,0.8,1.0,2.0,1.548
300,5,0.05,1.0,0.1,5.0,1.5483
100,7,0.05,0.8,0.1,1.0,1.5487
200,5,0.05,0.8,0.0,5.0,1.5491
100,5,0.1,0.8,0.0,1.0,1.5494
300,5,0.05,0.8,0.0,5.0,1.5499
200,5,0.01,0.8,0.0,1.0,1.552
300,3,0.05,0.8,0.1,5.0,1.5546
200,5,0.1,1.0,0.0,5.0,1.5562
300,3,0.01,1.0,0.0,2.0,1.5564
200,5,0.05,1.0,0.1,5.0,1.5589
100,5,0.05,1.0,1.0,5.0,1.5591
200,5,0.05,1.0,0.0,1.0,1.5602
100,3,0.1,0.8,0.1,1.0,1.5605
300,5,0.1,1.0,0.0,5.0,1.5635
300,7,0.1,0.8,0.1,5.0,1.5652
200,5,0.05,1.0,1.0,2.0,1.5656
300,5,0.1,0.8,0.0,5.0,1.5656
200,3,0.1,1.0,0.1,5.0,1.5672
300,3,0.01,1.0,0.1,2.0,1.5677
200,5,0.05,0.8,1.0,2.0,1.5678
200,7,0.1,0.8,0.1,5.0,1.5685
100,3,0.05,0.8,0.1,2.0,1.5687
200,5,0.1,0.8,0.0,5.0,1.5689
100,5,0.05,0.8,1.0,2.0,1.5694
200,5,0.1,0.8,0.0,1.0,1.5712
300,5,0.1,0.8,0.0,1.0,1.5717
300,7,0.1,1.0,0.0,5.0,1.572
100,5,0.1,1.0,1.0,1.0,1.5729
100,3,0.1,0.8,0.1,2.0,1.573
